{'task_id': 2, '符合数': 8, '不违规数': 16, '通过数': 4, '文本风险': 0}
{'task_id': 16, '符合数': 13, '不违规数': 14, '通过数': 4, '文本风险': 0}
{'task_id': 17, '符合数': 23, '不违规数': 13, '通过数': 8, '文本风险': 0}
{'task_id': 17, '符合数': 17, '不违规数': 5, '通过数': 4, '文本风险': 0}
{'task_id': 19, '符合数': 30, '不违规数': 12, '通过数': 12, '文本风险': 0}
{'task_id': 19, '符合数': 30, '不违规数': 10, '通过数': 10, '文本风险': 0}
{'task_id': 21, '符合数': 10, '不违规数': 14, '通过数': 5, '文本风险': 0}
{'task_id': 21, '符合数': 13, '不违规数': 9, '通过数': 4, '文本风险': 0}
{'task_id': 22, '符合数': 26, '不违规数': 10, '通过数': 10, '文本风险': 0}
{'task_id': 22, '符合数': 25, '不违规数': 10, '通过数': 8, '文本风险': 0}
{'task_id': 23, '符合数': 24, '不违规数': 11, '通过数': 10, '文本风险': 0}
{'task_id': 23, '符合数': 4, '不违规数': 7, '通过数': 2, '文本风险': 0}
{'task_id': 24, '符合数': 14, '不违规数': 7, '通过数': 3, '文本风险': 0}
{'task_id': 24, '符合数': 9, '不违规数': 8, '通过数': 1, '文本风险': 0}
{'task_id': 25, '符合数': 29, '不违规数': 5, '通过数': 5, '文本风险': 0}
{'task_id': 25, '符合数': 26, '不违规数': 8, '通过数': 8, '文本风险': 0}
{'task_id': 26, '符合数': 28, '不违规数': 1, '通过数': 1, '文本风险': 0}
{'task_id': 26, '符合数': 26, '不违规数': 2, '通过数': 1, '文本风险': 0}
{'task_id': 27, '符合数': 21, '不违规数': 12, '通过数': 6, '文本风险': 0}
{'task_id': 27, '符合数': 20, '不违规数': 12, '通过数': 7, '文本风险': 0}
{'task_id': 29, '符合数': 28, '不违规数': 2, '通过数': 2, '文本风险': 0}
{'task_id': 29, '符合数': 30, '不违规数': 6, '通过数': 6, '文本风险': 0}
{'task_id': 30, '符合数': 25, '不违规数': 1, '通过数': 0, '文本风险': 0}
{'task_id': 30, '符合数': 29, '不违规数': 7, '通过数': 7, '文本风险': 0}
{'task_id': 31, '符合数': 29, '不违规数': 7, '通过数': 7, '文本风险': 0}
{'task_id': 31, '符合数': 25, '不违规数': 12, '通过数': 10, '文本风险': 0}
{'task_id': 32, '符合数': 30, '不违规数': 6, '通过数': 6, '文本风险': 0}
{'task_id': 32, '符合数': 29, '不违规数': 10, '通过数': 10, '文本风险': 0}
{'task_id': 33, '符合数': 23, '不违规数': 8, '通过数': 5, '文本风险': 0}
{'task_id': 33, '符合数': 15, '不违规数': 7, '通过数': 1, '文本风险': 0}
{'task_id': 34, '符合数': 24, '不违规数': 9, '通过数': 6, '文本风险': 0}
{'task_id': 34, '符合数': 15, '不违规数': 11, '通过数': 3, '文本风险': 0}
{'task_id': 35, '符合数': 28, '不违规数': 5, '通过数': 4, '文本风险': 0}
{'task_id': 35, '符合数': 27, '不违规数': 6, '通过数': 5, '文本风险': 0}
{'task_id': 37, '符合数': 13, '不违规数': 20, '通过数': 8, '文本风险': 0}
{'task_id': 37, '符合数': 4, '不违规数': 18, '通过数': 1, '文本风险': 0}
{'task_id': 38, '符合数': 10, '不违规数': 8, '通过数': 4, '文本风险': 0}
{'task_id': 38, '符合数': 8, '不违规数': 16, '通过数': 4, '文本风险': 0}
{'task_id': 39, '符合数': 29, '不违规数': 17, '通过数': 17, '文本风险': 0}
{'task_id': 39, '符合数': 24, '不违规数': 21, '通过数': 17, '文本风险': 0}
{'task_id': 41, '符合数': 14, '不违规数': 5, '通过数': 3, '文本风险': 0}
{'task_id': 41, '符合数': 15, '不违规数': 7, '通过数': 1, '文本风险': 0}
{'task_id': 42, '符合数': 14, '不违规数': 12, '通过数': 6, '文本风险': 0}
{'task_id': 42, '符合数': 21, '不违规数': 11, '通过数': 7, '文本风险': 0}
